Date,Open,High,Low,Close,Adj Close,Volume
2022-07-08,5025.000000,5025.000000,4810.000000,4890.000000,4573.014648,26420400
2022-07-11,4900.000000,4910.000000,4750.000000,4800.000000,4488.848145,20528000
2022-07-12,4800.000000,4880.000000,4770.000000,4880.000000,4563.662109,15676300
2022-07-13,4900.000000,4920.000000,4820.000000,4900.000000,4582.365723,13093300
2022-07-14,4900.000000,4900.000000,4800.000000,4900.000000,4582.365723,17033300
2022-07-15,4900.000000,4930.000000,4820.000000,4830.000000,4516.903320,13119700
2022-07-18,4870.000000,4980.000000,4830.000000,4980.000000,4657.180664,10748900
2022-07-19,4970.000000,4990.000000,4890.000000,4970.000000,4647.828613,16537800
2022-07-20,4990.000000,5100.000000,4950.000000,4970.000000,4647.828613,37835400
2022-07-21,4970.000000,5000.000000,4890.000000,5000.000000,4675.884277,13828900
2022-07-22,5000.000000,5000.000000,4940.000000,5000.000000,4675.884277,14582600
2022-07-25,4980.000000,4980.000000,4920.000000,4930.000000,4610.421875,9190300
2022-07-26,4930.000000,4950.000000,4900.000000,4930.000000,4610.421875,8239100
2022-07-27,4950.000000,5025.000000,4710.000000,4720.000000,4414.034668,49444700
2022-07-28,4720.000000,4770.000000,4500.000000,4510.000000,4217.646973,82746200
2022-07-29,4520.000000,4560.000000,4480.000000,4510.000000,4217.646973,55532300
2022-08-01,4530.000000,4650.000000,4510.000000,4550.000000,4255.054688,28250300
2022-08-02,4550.000000,4610.000000,4530.000000,4600.000000,4301.812988,22763900
2022-08-03,4600.000000,4600.000000,4550.000000,4590.000000,4292.460938,14248900
2022-08-04,4590.000000,4610.000000,4530.000000,4600.000000,4301.812988,21726600
2022-08-05,4650.000000,4740.000000,4620.000000,4720.000000,4414.034668,32171000
2022-08-08,4740.000000,4800.000000,4730.000000,4790.000000,4479.497070,20764800
2022-08-09,4800.000000,4800.000000,4720.000000,4720.000000,4414.034668,14898200
2022-08-10,4720.000000,4780.000000,4660.000000,4780.000000,4470.145020,21241700
2022-08-11,4790.000000,4800.000000,4740.000000,4750.000000,4442.089844,17603200
2022-08-12,4750.000000,4850.000000,4750.000000,4770.000000,4460.793457,20011800
2022-08-15,4770.000000,4780.000000,4710.000000,4760.000000,4451.441406,14082800
2022-08-16,4780.000000,4810.000000,4710.000000,4770.000000,4460.793457,11493000
2022-08-18,4800.000000,4810.000000,4730.000000,4790.000000,4479.497070,14617400
2022-08-19,4810.000000,4830.000000,4730.000000,4730.000000,4423.386230,13156500
2022-08-22,4750.000000,4800.000000,4730.000000,4750.000000,4442.089844,14214600
2022-08-23,4800.000000,4830.000000,4760.000000,4810.000000,4498.200195,18458700
2022-08-24,4820.000000,4880.000000,4800.000000,4850.000000,4535.606934,14304200
